From,To,Distance_km,From_latlon,To_latlon
MM HA LONG,MM VINH,297.0,"20.95880, 107.15422","18.66290, 105.70407"
MM HA LONG,MM VUNG TAU,1180.1,"20.95880, 107.15422","10.34599, 107.08426"
MM HIEP PHU,South Ambient DC,12.4,"10.86690, 106.64185","10.89750, 106.75110"
MM HIEP PHU,MM AN PHU,14.1,"10.86690, 106.64185","10.79142, 106.74578"
MM HIEP PHU,MM BIEN HOA,21.0,"10.86690, 106.64185","10.95592, 106.81199"
MM HIEP PHU,MM BINH DUONG,12.7,"10.86690, 106.64185","10.98040, 106.65190"
MM HIEP PHU,MM BINH PHU,13.6,"10.86690, 106.64185","10.74533, 106.63228"
MM HIEP PHU,MM BUON MA THUOT,256.3,"10.86690, 106.64185","12.69771, 108.07174"
MM HIEP PHU,MM DA NANG,603.0,"10.86690, 106.64185","16.06778, 108.22083"
MM HIEP PHU,MM HA DONG,1126.8,"10.86690, 106.64185","20.96653, 105.77482"
MM HIEP PHU,MM HA LONG,1123.5,"10.86690, 106.64185","20.95880, 107.15422"
MM HIEP PHU,MM HIEP PHU,0.0,"10.86690, 106.64185","10.86690, 106.64185"
MM HIEP PHU,MM HOANG MAI,1125.9,"10.86690, 106.64185","20.96410, 105.85900"
MM HIEP PHU,MM HONG BANG,1111.7,"10.86690, 106.64185","20.86481, 106.68345"
MM HIEP PHU,MM HUNG LOI,134.6,"10.86690, 106.64185","10.01717, 105.76537"
MM HIEP PHU,MM LONG XUYEN,141.9,"10.86690, 106.64185","10.37043, 105.44585"
MM HIEP PHU,MM NHA TRANG,312.1,"10.86690, 106.64185","12.25744, 109.13105"
MM HIEP PHU,MM QUY NHON,424.7,"10.86690, 106.64185","13.74464, 109.21225"
MM HIEP PHU,MM RACH GIA,195.4,"10.86690, 106.64185","10.01250, 105.08090"
MM HIEP PHU,MM THANG LONG,1136.5,"10.86690, 106.64185","21.05450, 105.78230"
MM HIEP PHU,MM THANH XUAN,1129.5,"10.86690, 106.64185","20.99585, 105.84034"
MM HIEP PHU,MM VINH,872.7,"10.86690, 106.64185","18.66290, 105.70407"
MM HIEP PHU,MM VUNG TAU,75.5,"10.86690, 106.64185","10.34599, 107.08426"
MM HOANG MAI,South Ambient DC,1123.4,"20.96410, 105.85900","10.89750, 106.75110"
MM HOANG MAI,MM AN PHU,1135.1,"20.96410, 105.85900","10.79142, 106.74578"
MM HOANG MAI,MM BIEN HOA,1117.5,"20.96410, 105.85900","10.95592, 106.81199"
MM HOANG MAI,MM BINH DUONG,1113.4,"20.96410, 105.85900","10.98040, 106.65190"
MM HOANG MAI,MM BINH PHU,1139.3,"20.96410, 105.85900","10.74533, 106.63228"
MM HOANG MAI,MM BUON MA THUOT,948.8,"20.96410, 105.85900","12.69771, 108.07174"
MM HOANG MAI,MM DA NANG,598.7,"20.96410, 105.85900","16.06778, 108.22083"
MM HOANG MAI,MM HA DONG,8.7,"20.96410, 105.85900","20.96653, 105.77482"
MM HOANG MAI,MM HA LONG,134.5,"20.96410, 105.85900","20.95880, 107.15422"
MM HOANG MAI,MM HIEP PHU,1125.9,"20.96410, 105.85900","10.86690, 106.64185"
MM HOANG MAI,MM HOANG MAI,0.0,"20.96410, 105.85900","20.96410, 105.85900"
MM HOANG MAI,MM HONG BANG,86.3,"20.96410, 105.85900","20.86481, 106.68345"
MM HOANG MAI,MM HUNG LOI,1217.3,"20.96410, 105.85900","10.01717, 105.76537"
MM HOANG MAI,MM LONG XUYEN,1178.8,"20.96410, 105.85900","10.37043, 105.44585"
MM HOANG MAI,MM NHA TRANG,1028.9,"20.96410, 105.85900","12.25744, 109.13105"
MM HOANG MAI,MM QUY NHON,878.0,"20.96410, 105.85900","13.74464, 109.21225"
MM HOANG MAI,MM RACH GIA,1220.6,"20.96410, 105.85900","10.01250, 105.08090"
