variant,run_label,source_instance,dataset_id,scenario_id,seed,benchmark_mode,rmp_objective,realized_cost_no_lt,realized_cost_with_lt,final_objective_or_total_cost,lt_cost_with_lt,shortage_cost_with_lt,cg_iterations,stopping_reason,total_runtime_seconds,variant_runtime_seconds,shared_baseline_runtime_seconds,total_runtime_with_shared_baseline_seconds,phase1_baseline_runtime_seconds,phase2_cg_runtime_seconds,gnn_inference_runtime_seconds,post_run_fine_tune_runtime_seconds,columns_generated,columns_selected_by_gnn,columns_added_to_rmp,column_pool_utilization,gnn_scoring_failures,repeat,shock_world_id,window_id,shock_seed,window_start_period,window_end_period,window_n_periods,baseline_cache_path,cached_baseline_runtime_seconds,a0_exact_pricing_time_limit
A0_cg_full_exact,A0_cg_full_exact__shock04_window03,,,shock04_window03,30063,sliced_cg_only_cached_baseline,2441490851.8815413,259751954.42,223376909.948651,223376909.948651,8975.856651,10328695.0,43,convergence_no_negative_rc,4.690354642999864,4.690354642999864,0.0,4.690354642999864,691.1348897149999,0.024917125701904297,0.0,0.0,283,283,283,0.6229260935143288,0,33,4,3,30063,39,57,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock04_window04,,,shock04_window04,30063,sliced_cg_only_cached_baseline,2440506284.235592,246195998.64,213893044.329634,213893044.329634,9078.553634,1510466.8,43,convergence_no_negative_rc,4.303212773999803,4.303212773999803,0.0,4.303212773999803,691.1348897149999,0.012946844100952148,0.0,0.0,250,250,250,0.6333333333333333,0,34,4,4,30063,58,76,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock04_window05,,,shock04_window05,30063,sliced_cg_only_cached_baseline,2461540276.714927,310276960.476,251945864.737467,251945864.737467,12588.925467,39565752.2,43,convergence_no_negative_rc,5.9282152040000256,5.9282152040000256,0.0,5.9282152040000256,691.1348897149999,0.02937626838684082,0.0,0.0,448,448,370,0.6082840236686391,0,35,4,5,30063,77,95,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock04_window06,,,shock04_window06,30063,sliced_cg_only_cached_baseline,2434039640.412807,256521088.316,213284429.108738,213284429.108738,9990.360738,2755798.2,43,convergence_no_negative_rc,5.378049564000321,5.378049564000321,0.0,5.378049564000321,691.1348897149999,0.024389982223510742,0.0,0.0,377,377,311,0.6361323155216285,0,36,4,6,30063,96,114,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock04_window07,,,shock04_window07,30063,sliced_cg_only_cached_baseline,2432042358.765191,276749921.272,221877056.152426,221877056.152426,12862.296426,11867966.2,43,convergence_no_negative_rc,5.627000220999889,5.627000220999889,0.0,5.627000220999889,691.1348897149999,0.02776479721069336,0.0,0.0,356,356,350,0.6375757575757576,0,37,4,7,30063,115,133,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock04_window08,,,shock04_window08,30063,sliced_cg_only_cached_baseline,2417669604.129512,267625558.792,213564197.674998,213564197.674998,13629.186998,2405897.0,42,convergence_no_negative_rc,5.043987297999593,5.043987297999593,0.0,5.043987297999593,691.1348897149999,0.018498897552490234,0.0,0.0,382,382,361,0.6758373205741627,0,38,4,8,30063,134,152,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock04_window09,,,shock04_window09,30063,sliced_cg_only_cached_baseline,2395165610.1447196,310414702.008,222037743.015961,222037743.015961,19735.935961,9168847.2,43,convergence_no_negative_rc,6.855672152999887,6.855672152999887,0.0,6.855672152999887,691.1348897149999,0.028979063034057617,0.0,0.0,508,508,418,0.6640537513997761,0,39,4,9,30063,153,171,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock04_window10,,,shock04_window10,30063,sliced_cg_only_cached_baseline,2452817820.8275256,131783010.408,111377160.284082,111377160.284082,4829.876082,481350.0,42,convergence_no_negative_rc,2.4377303700002813,2.4377303700002813,0.0,2.4377303700002813,691.1348897149999,0.008741378784179688,0.0,0.0,156,156,156,0.5812807881773399,0,40,4,10,30063,172,181,10,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock05_window01,,,shock05_window01,40070,sliced_cg_only_cached_baseline,2461639999.694992,234339404.0048,221260763.302165,221260763.302165,4220.921365,526894.0,42,convergence_no_negative_rc,3.6694519550001132,3.6694519550001132,0.0,3.6694519550001132,691.1348897149999,0.0109710693359375,0.0,0.0,179,179,173,0.4979919678714859,0,41,5,1,40070,1,19,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock05_window02,,,shock05_window02,40070,sliced_cg_only_cached_baseline,2442846959.0707364,252969049.128,218458670.846173,218458670.846173,8400.262173,3331125.6,42,convergence_no_negative_rc,4.42460971499986,4.42460971499986,0.0,4.42460971499986,691.1348897149999,0.017040014266967773,0.0,0.0,309,309,264,0.5962732919254659,0,42,5,2,40070,20,38,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
