store,sku,period,predicted_end_qty
MM THANG LONG,GIFT SET ORION AN 2 890.6G,5,2671.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,6,2730.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,7,2740.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,8,2729.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,9,1829.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,10,1735.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,11,1365.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,12,1089.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,13,898.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,14,266.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,15,32.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,16,19.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,17,0.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,18,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,19,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,20,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,21,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,22,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,23,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,24,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,25,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,26,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,27,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,28,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,29,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,30,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,31,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,32,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,33,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,34,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,35,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,36,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,37,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,38,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,39,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,40,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,41,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,42,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,43,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,44,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,45,2.0
MM THANG LONG,GIFT SET ORION AN 2 890.6G,46,2.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,1,90.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,2,80.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,3,183.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,4,208.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,5,180.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,6,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,7,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,8,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,9,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,10,0.0
MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,11,0.0
